Skills
javascript
python
django
jquery
java
c
c#
.net
c++
php
sql
Node.js
node js
SQL Reporting
Scala
DevOps
machine learning
software engineering
software development
Oracle
AI
Scheduling
Linux
UNIX
Angular.JS
Angular
React
MATLAB
LabVIEW
Azure
aws
assembly
objective-c
objective-c++
ruby
